id	descricao	unidade medida	familia	comprimento	largura	altura	peso
0	a	N	XX	0	0	0	1
1	a	N	TR	0	0	0	1
2	a	N	TR	0	0	0	1
3	a	N	TR	0	0	0	1
4	a	N	TR	0	0	0	1
5	a	N	XX	0	0	0	1
6	a	N	TR	0	0	0	1
7	a	N	TR	0	0	0	1
8	a	N	XX	0	0	0	1
9	a	N	TR	0	0	0	1
10	a	N	XX	0	0	0	1
11	a	N	TR	0	0	0	1
12	a	N	XX	0	0	0	1
13	a	N	TR	0	0	0	1
14	a	N	TR	0	0	0	1
15	a	N	TR	0	0	0	1
16	a	N	TR	0	0	0	1
17	a	N	XX	0	0	0	29167
18	a	N	TR	0	0	0	1
19	a	N	TR	0	0	0	1
20	a	N	TR	0	0	0	1
21	a	N	XX	0	0	0	1
22	a	N	TR	0	0	0	1
23	a	N	TR	0	0	0	1
24	a	N	TR	0	0	0	1
25	a	N	XX	0	0	0	1
26	a	N	TR	0	0	0	1
27	a	N	TR	0	0	0	1
28	a	N	TR	0	0	0	1
29	a	N	TR	0	0	0	1
30	a	N	TR	0	0	0	1
31	a	N	TR	0	0	0	1
32	a	N	TR	0	0	0	1
33	a	N	TR	0	0	0	1
34	a	N	TR	0	0	0	1
35	a	N	TR	0	0	0	1
36	a	N	TR	0	0	0	1
37	a	N	TR	0	0	0	1
38	a	N	TR	0	0	0	1
39	a	N	TR	0	0	0	1
40	a	N	TR	0	0	0	1
41	a	N	TR	0	0	0	1
42	a	N	XX	0	0	0	1
43	a	N	XX	0	0	0	5531
44	a	N	XX	0	0	0	1
45	a	N	XX	0	0	0	1
46	a	N	XX	0	0	0	1
47	a	N	XX	0	0	0	1
48	a	N	XX	0	0	0	1
49	a	N	TR	0	0	0	1
50	a	N	XX	0	0	0	1
51	a	N	XX	0	0	0	1
52	a	N	XX	0	0	0	1
53	a	N	TR	0	0	0	1
54	a	N	XX	0	0	0	1
55	a	N	XX	0	0	0	1
56	a	N	TR	0	0	0	1
57	a	N	TR	0	0	0	1
58	a	N	TR	0	0	0	1
59	a	N	XX	0	0	0	1
60	a	N	TR	0	0	0	1
61	a	N	TR	0	0	0	1
62	a	N	TR	0	0	0	1
63	a	N	XX	0	0	0	1
64	a	N	XX	0	0	0	1
65	a	N	XX	0	0	0	1
66	a	N	XX	0	0	0	1
67	a	N	TR	0	0	0	1
68	a	N	TR	0	0	0	1
69	a	N	TR	0	0	0	1
70	a	N	TR	0	0	0	1
71	a	N	XX	0	0	0	50
72	a	N	TR	0	0	0	1
73	a	N	TR	0	0	0	1
74	a	N	TR	0	0	0	1
75	a	N	TR	0	0	0	1
76	a	N	TR	0	0	0	1
77	a	N	TR	0	0	0	1
78	a	N	TR	0	0	0	1
79	a	N	TR	0	0	0	1
80	a	N	TR	0	0	0	1
81	a	N	TR	0	0	0	1
82	a	N	TR	0	0	0	1
83	a	N	XX	0	0	0	1
84	a	N	TR	0	0	0	1
85	a	N	TR	0	0	0	1
86	a	N	TR	0	0	0	1
87	a	N	TR	0	0	0	1
88	a	N	TR	0	0	0	1
89	a	N	XX	0	0	0	1
90	a	N	TR	0	0	0	1
91	a	N	TR	0	0	0	1
92	a	N	TR	0	0	0	1
93	a	N	TR	0	0	0	1
94	a	N	TR	0	0	0	1
95	a	N	TR	0	0	0	1
96	a	N	TR	0	0	0	1
97	a	N	TR	0	0	0	1
98	a	N	XX	0	0	0	0
99	a	N	TR	0	0	0	1
100	a	N	TR	0	0	0	1
101	a	N	TR	0	0	0	1
102	a	N	TR	0	0	0	1
103	a	N	TR	0	0	0	1
104	a	N	TR	0	0	0	1
105	a	N	TR	0	0	0	1
106	a	N	TR	0	0	0	1
107	a	N	XX	0	0	0	20
108	a	N	TR	0	0	0	1
109	a	N	TR	0	0	0	1
110	a	N	TR	0	0	0	1
111	a	N	TR	0	0	0	1
112	a	N	TR	0	0	0	1
113	a	N	TR	0	0	0	1
114	a	N	XX	0	0	0	1
115	a	N	TR	0	0	0	1
116	a	N	TR	0	0	0	1
117	a	CF	TR	0	0	0	1
118	a	CF	TR	0	0	0	1
119	a	CF	TR	0	0	0	1
120	a	CF	TR	0	0	0	1
121	a	CF	TR	0	0	0	1
122	a	CF	TR	0	0	0	1
123	a	N	TR	0	0	0	1
124	a	N	TR	0	0	0	1
125	a	N	XX	180	240	180	454
126	a	N	TR	0	0	0	1
127	a	N	TR	0	0	0	1
128	a	N	TR	0	0	0	1
129	a	N	TR	0	0	0	1
130	a	N	TR	0	0	0	1
131	a	N	TR	0	0	0	1
132	a	N	TR	0	0	0	1
133	a	N	TR	0	0	0	1
134	a	N	XX	0	0	0	1
135	a	N	TR	0	0	0	1
136	a	N	TR	0	0	0	1
137	a	N	XX	0	0	0	1
138	a	N	XX	0	0	0	1
139	a	N	XX	0	0	0	1
140	a	N	XX	0	0	0	1
141	a	N	XX	0	0	0	1
142	a	N	XX	0	0	0	1
143	a	N	XX	0	0	0	20
144	a	N	TR	0	0	0	1
145	a	N	TR	0	0	0	1
146	a	N	TR	0	0	0	1
147	a	N	TR	0	0	0	1
148	a	N	XX	0	0	0	1
149	a	N	TR	0	0	0	1
150	a	N	TR	0	0	0	1
151	a	N	TR	0	0	0	1
152	a	N	TR	0	0	0	1
153	a	N	XX	0	0	0	1
154	a	N	XX	0	0	0	1
155	a	N	TR	0	0	0	1
156	a	N	TR	0	0	0	1
157	a	N	TR	0	0	0	1
158	a	N	TR	0	0	0	1
159	a	N	TR	0	0	0	1
160	a	N	TR	0	0	0	1
161	a	N	TR	0	0	0	1
162	a	N	TR	0	0	0	1
163	a	N	TR	0	0	0	1
164	a	N	TR	0	0	0	1
165	a	N	TR	0	0	0	1
166	a	N	TR	0	0	0	1
167	a	N	TR	0	0	0	1
168	a	N	TR	0	0	0	1
169	a	N	XX	0	0	0	1
170	a	N	TR	0	0	0	1
171	a	N	TR	0	0	0	1
172	a	N	TR	0	0	0	1
173	a	N	TR	0	0	0	1
174	a	N	TR	0	0	0	1
175	a	N	TR	0	0	0	1
176	a	N	TR	0	0	0	1
177	a	N	TR	0	0	0	1
178	a	N	XX	0	0	0	1
179	a	N	XX	0	0	0	20
180	a	N	XX	0	0	0	1
181	a	N	TR	0	0	0	1
182	a	N	TR	0	0	0	1
183	a	N	TR	0	0	0	1
184	a	N	TR	0	0	0	1
185	a	N	TR	0	0	0	1
186	a	N	TR	0	0	0	1
187	a	N	TR	0	0	0	1
188	a	N	TR	0	0	0	1
189	a	N	TR	0	0	0	1
190	a	N	TR	0	0	0	1
191	a	N	XX	0	0	0	1
192	a	N	TR	0	0	0	1
193	a	N	TR	0	0	0	1
194	a	N	XX	0	0	0	1
195	a	N	XX	0	0	0	1
196	a	N	TR	0	0	0	1
197	a	N	TR	0	0	0	1
198	a	N	TR	0	0	0	1
199	a	N	XX	0	0	0	1
200	a	N	TR	0	0	0	1
201	a	N	TR	0	0	0	1
202	a	N	TR	0	0	0	1
203	a	N	TR	0	0	0	1
204	a	N	TR	0	0	0	1
205	a	N	TR	0	0	0	1
206	a	N	TR	0	0	0	1
207	a	N	TR	0	0	0	1
208	a	N	TR	0	0	0	1
209	a	N	TR	0	0	0	1
210	a	N	TR	0	0	0	1
211	a	N	TR	0	0	0	1
212	a	N	TR	566	7	30	1
213	a	N	TR	0	0	0	1
214	a	N	XX	0	0	0	1
215	a	N	XX	0	0	0	1
216	a	N	TR	0	0	0	1
217	a	N	TR	0	0	0	1
218	a	N	TR	0	0	0	1
219	a	N	XX	0	0	0	1
220	a	N	XX	0	0	0	1
221	a	N	TR	0	0	0	1
222	a	N	TR	0	0	0	1
223	a	N	TR	0	0	0	1
224	a	N	XX	0	0	0	1
225	a	N	TR	0	0	0	1
226	a	N	XX	0	0	0	1
227	a	N	TR	0	0	0	1
228	a	N	TR	0	0	0	1
229	a	N	TR	0	0	0	1
230	a	N	TR	0	0	0	1
231	a	N	TR	0	0	0	1
232	a	N	TR	0	0	0	1
233	a	N	TR	0	0	0	1
234	a	N	TR	0	0	0	1
235	a	N	TR	0	0	0	1
236	a	N	TR	0	0	0	1
237	a	N	TR	0	0	0	1
238	a	N	TR	0	0	0	1
239	a	N	TR	0	0	0	1
240	a	N	TR	0	0	0	1
241	a	N	XX	0	0	0	1
242	a	N	TR	0	0	0	1
243	a	N	XX	0	0	0	20
244	a	N	TR	0	0	0	1
245	a	N	TR	0	0	0	1
246	a	N	TR	0	0	0	1
247	a	N	TR	0	0	0	1
248	a	N	TR	0	0	0	1
249	a	N	TR	0	0	0	1
250	a	N	TR	0	0	0	1
251	a	N	TR	0	0	0	1
252	a	N	TR	0	0	0	1
253	a	N	XX	0	0	0	1
254	a	N	TR	0	0	0	1
255	a	N	TR	0	0	0	1
256	a	N	TR	0	0	0	1
257	a	N	TR	0	0	0	1
258	a	N	XX	0	0	0	1
259	a	N	XX	0	0	0	1
260	a	N	TR	0	0	0	1
261	a	N	XX	0	0	0	1000
262	a	N	TR	0	0	0	1
263	a	N	TR	0	0	0	1
264	a	N	TR	0	0	0	1
265	a	N	TR	0	0	0	1
266	a	N	TR	0	0	0	1
267	a	N	TR	0	0	0	1
268	a	N	TR	0	0	0	1
269	a	N	TR	0	0	0	1
270	a	N	TR	0	0	0	1
271	a	N	TR	0	0	0	1
272	a	N	TR	0	0	0	1
273	a	N	TR	0	0	0	1
274	a	N	TR	0	0	0	1
275	a	N	XX	0	0	0	1
276	a	N	XX	0	0	0	1
277	a	N	TR	0	0	0	1
278	a	N	XX	0	0	0	1
279	a	N	TR	0	0	0	1
280	a	N	XX	0	0	0	1
281	a	N	TR	0	0	0	1
282	a	N	XX	0	0	0	1
283	a	N	TR	0	0	0	1
284	a	N	TR	0	0	0	1
285	a	N	TR	0	0	0	1
286	a	N	TR	0	0	0	1
287	a	N	TR	0	0	0	1
288	a	N	TR	0	0	0	1
289	a	N	XX	0	0	0	1
290	a	N	TR	0	0	0	1
291	a	N	XX	0	0	0	1
292	a	N	XX	0	0	0	1
293	a	N	TR	0	0	0	1
294	a	N	TR	0	0	0	1
295	a	N	TR	0	0	0	1
296	a	N	TR	0	0	0	1
297	a	N	TR	0	0	0	1
298	a	N	TR	0	0	0	1
299	a	N	TR	0	0	0	1
300	a	N	XX	0	0	0	1
301	a	N	XX	0	0	0	1
302	a	N	XX	0	0	0	1
303	a	N	XX	0	0	0	1
304	a	N	XX	0	0	0	1
305	a	N	TR	0	0	0	1
306	a	N	TR	0	0	0	1
307	a	N	TR	0	0	0	1
308	a	N	TR	0	0	0	1
309	a	N	XX	0	0	0	1
310	a	N	TR	0	0	0	1
311	a	N	XX	0	0	0	1
312	a	N	XX	0	0	0	1
313	a	N	XX	0	0	0	1
314	a	N	TR	0	0	0	1
315	a	N	TR	0	0	0	1
316	a	N	XX	0	0	0	1
317	a	N	XX	0	0	0	1
318	a	N	TR	0	0	0	1
319	a	N	TR	0	0	0	1
320	a	N	TR	0	0	0	1
321	a	N	TR	0	0	0	1
322	a	N	XX	0	0	0	1
323	a	N	TR	0	0	0	1
324	a	N	TR	0	0	0	1
325	a	N	TR	0	0	0	1
326	a	N	TR	0	0	0	1
327	a	N	TR	0	0	0	1
328	a	N	TR	0	0	0	1
329	a	N	TR	0	0	0	1
330	a	N	TR	0	0	0	1
331	a	N	TR	0	0	0	1
332	a	N	TR	0	0	0	1
333	a	N	TR	0	0	0	1
334	a	N	TR	0	0	0	1
335	a	N	TR	0	0	0	1
336	a	N	TR	0	0	0	1
337	a	N	TR	0	0	0	1
338	a	N	TR	0	0	0	1
339	a	N	TR	0	0	0	1
340	a	N	TR	0	0	0	1
341	a	N	XX	0	0	0	1
342	a	N	TR	0	0	0	1
343	a	N	TR	0	0	0	1
344	a	N	TR	0	0	0	1
345	a	N	TR	0	0	0	1
346	a	N	TR	0	0	0	1
347	a	N	TR	0	0	0	1
348	a	N	XX	0	0	0	1
349	a	N	XX	0	0	0	1
350	a	N	TR	0	0	0	1
351	a	N	TR	0	0	0	1
352	a	N	TR	0	0	0	1
353	a	N	TR	0	0	0	1
354	a	N	TR	0	0	0	1
355	a	N	XX	0	0	0	1
356	a	N	TR	0	0	0	1
357	a	NR	TR	0	0	0	1
358	a	N	TR	0	0	0	1
359	a	N	TR	0	0	0	1
360	a	N	TR	0	0	0	1
361	a	N	TR	0	0	0	1
362	a	N	TR	0	0	0	1
363	a	N	TR	0	0	0	1
364	a	N	TR	0	0	0	1
365	a	N	TR	0	0	0	1
366	a	N	TR	0	0	0	1
367	a	N	TR	0	0	0	1
368	a	N	TR	0	0	0	1
369	a	N	XX	0	0	0	1
370	a	N	TR	0	0	0	1
371	a	N	XX	0	0	0	1
372	a	N	TR	0	0	0	1
373	a	N	TR	0	0	0	1
374	a	N	TR	0	0	0	1
375	a	N	XX	0	0	0	1
376	a	N	TR	0	0	0	1
377	a	N	XX	0	0	0	1
378	a	N	TR	0	0	0	1
379	a	N	TR	0	0	0	1
380	a	N	TR	0	0	0	1
381	a	N	TR	0	0	0	1
382	a	N	TR	0	0	0	1
383	a	N	TR	0	0	0	1
384	a	N	TR	0	0	0	1
385	a	N	TR	0	0	0	1
386	a	N	XX	0	0	0	1
387	a	N	TR	0	0	0	1
388	a	N	TR	0	0	0	1
389	a	N	TR	0	0	0	1
390	a	N	TR	0	0	0	1
391	a	N	TR	0	0	0	1
392	a	N	TR	0	0	0	1
393	a	N	TR	0	0	0	1
394	a	N	TR	0	0	0	1
395	a	N	TR	0	0	0	1
396	a	N	TR	0	0	0	1
397	a	N	TR	0	0	0	1
